collection,algoritmo,execucao_index,tempo_ns
ordenados,merge,98,8346400
ordenados,merge,99,8229100
ordenados,hibrido,0,3619800
ordenados,hibrido,1,3636400
ordenados,hibrido,2,3596300
ordenados,hibrido,3,3662800
ordenados,hibrido,4,3630900
ordenados,hibrido,5,3514700
ordenados,hibrido,6,3597000
ordenados,hibrido,7,3818100
ordenados,hibrido,8,3995600
ordenados,hibrido,9,3466900
ordenados,hibrido,10,3630700
ordenados,hibrido,11,3593200
ordenados,hibrido,12,3679100
ordenados,hibrido,13,3513100
ordenados,hibrido,14,3798600
ordenados,hibrido,15,3431900
ordenados,hibrido,16,3811400
ordenados,hibrido,17,3593800
ordenados,hibrido,18,3729700
ordenados,hibrido,19,3521500
ordenados,hibrido,20,3683100
ordenados,hibrido,21,3918500
ordenados,hibrido,22,3524800
ordenados,hibrido,23,3640300
ordenados,hibrido,24,3538700
ordenados,hibrido,25,3795800
ordenados,hibrido,26,3762000
ordenados,hibrido,27,4016000
ordenados,hibrido,28,3763200
ordenados,hibrido,29,3960800
ordenados,hibrido,30,3574300
ordenados,hibrido,31,4077300
ordenados,hibrido,32,3852700
ordenados,hibrido,33,3837000
ordenados,hibrido,34,3917400
ordenados,hibrido,35,3582600
ordenados,hibrido,36,3713200
ordenados,hibrido,37,3612700
ordenados,hibrido,38,3730400
ordenados,hibrido,39,3446400
ordenados,hibrido,40,3610500
ordenados,hibrido,41,3493800
ordenados,hibrido,42,3923500
ordenados,hibrido,43,3451900
ordenados,hibrido,44,3773200
ordenados,hibrido,45,3449000
ordenados,hibrido,46,3737300
ordenados,hibrido,47,3953000
ordenados,hibrido,48,3650900
ordenados,hibrido,49,3616900
ordenados,hibrido,50,3582200
ordenados,hibrido,51,3651000
ordenados,hibrido,52,3448400
ordenados,hibrido,53,3613400
ordenados,hibrido,54,3572400
ordenados,hibrido,55,3651000
ordenados,hibrido,56,3679200
ordenados,hibrido,57,3641700
ordenados,hibrido,58,3514500
ordenados,hibrido,59,3639900
ordenados,hibrido,60,3712800
ordenados,hibrido,61,3762500
ordenados,hibrido,62,3551900
ordenados,hibrido,63,3695000
ordenados,hibrido,64,3599100
ordenados,hibrido,65,4176800
ordenados,hibrido,66,3804300
ordenados,hibrido,67,3630700
ordenados,hibrido,68,3840000
ordenados,hibrido,69,3540600
ordenados,hibrido,70,3781600
ordenados,hibrido,71,3617300
ordenados,hibrido,72,3773700
ordenados,hibrido,73,3553600
ordenados,hibrido,74,3768900
ordenados,hibrido,75,3451100
ordenados,hibrido,76,3853600
ordenados,hibrido,77,3588500
ordenados,hibrido,78,3833700
ordenados,hibrido,79,3478400
ordenados,hibrido,80,3812100
ordenados,hibrido,81,3546100
ordenados,hibrido,82,3885000
ordenados,hibrido,83,3740500
ordenados,hibrido,84,3568300
ordenados,hibrido,85,3867000
ordenados,hibrido,86,3690400
ordenados,hibrido,87,3865800
ordenados,hibrido,88,3494600
ordenados,hibrido,89,3840300
ordenados,hibrido,90,3659200
ordenados,hibrido,91,3816200
ordenados,hibrido,92,3443700
ordenados,hibrido,93,3742100
ordenados,hibrido,94,3522800
ordenados,hibrido,95,4057200
ordenados,hibrido,96,3549300
ordenados,hibrido,97,3666600
ordenados,hibrido,98,3986900
ordenados,hibrido,99,3570000
inversos,insertion,0,2195236300
inversos,insertion,1,2191630800
inversos,insertion,2,2341097900
inversos,insertion,3,2388859100
inversos,insertion,4,2258377700
inversos,insertion,5,2325846700
inversos,insertion,6,2227243700
inversos,insertion,7,2215542800
inversos,insertion,8,2226041000
inversos,insertion,9,2216137200
inversos,insertion,10,2421306700
inversos,insertion,11,2265056000
inversos,insertion,12,3290639200
inversos,insertion,13,4454493300
inversos,insertion,14,4451492700
inversos,insertion,15,4503282400
inversos,insertion,16,4512207500
inversos,insertion,17,4500848600
inversos,insertion,18,4444007500
inversos,insertion,19,4669557700
inversos,insertion,20,4437537000
inversos,insertion,21,4514369200
inversos,insertion,22,4450479700
inversos,insertion,23,4443584100
inversos,insertion,24,4497723900
inversos,insertion,25,4458470300
inversos,insertion,26,4472091800
inversos,insertion,27,4538332800
inversos,insertion,28,4444232000
inversos,insertion,29,4548998800
inversos,insertion,30,4483011600
inversos,insertion,31,4521666000
inversos,insertion,32,4543522400
inversos,insertion,33,4492715500
inversos,insertion,34,4625276900
inversos,insertion,35,3348886500
inversos,insertion,36,2233889000
inversos,insertion,37,2221237000
inversos,insertion,38,2231716800
inversos,insertion,39,2225439700
inversos,insertion,40,2203364200
inversos,insertion,41,2198693400
inversos,insertion,42,2199314000
inversos,insertion,43,2201135100
inversos,insertion,44,2198523700
inversos,insertion,45,2208836900
inversos,insertion,46,2196873700
inversos,insertion,47,2195216700
inversos,insertion,48,2197807800
inversos,insertion,49,2190517100
inversos,insertion,50,2194427200
inversos,insertion,51,2197444400
inversos,insertion,52,2192091900
inversos,insertion,53,2187762900
inversos,insertion,54,2192724400
inversos,insertion,55,2193168600
inversos,insertion,56,2199604500
inversos,insertion,57,2196386000
inversos,insertion,58,2198863600
inversos,insertion,59,2198823700
inversos,insertion,60,2215077300
inversos,insertion,61,2196722000
inversos,insertion,62,2199987100
inversos,insertion,63,2194241400
inversos,insertion,64,2197020000
inversos,insertion,65,2191423600
inversos,insertion,66,2194714900
inversos,insertion,67,2193603900
inversos,insertion,68,2191232800
inversos,insertion,69,2192301400
inversos,insertion,70,2198291400
inversos,insertion,71,2190961000
inversos,insertion,72,2193762900
inversos,insertion,73,2194325700
inversos,insertion,74,2192656600
inversos,insertion,75,2197663800
inversos,insertion,76,2195388400
inversos,insertion,77,2198111500
inversos,insertion,78,2195943500
inversos,insertion,79,2192078300
